uni_codigo;uni_nombre;prv_descri;can_descri;parr_descr;zon_cod;dis_cod;tipologia_;tipo_entid;sexo;edad_0;edad_1;edad_2;edad_3;edad_4;edad_5;edad_6;edad_7;edad_8;edad_9;edad_10;edad_11;edad_12;edad_13;edad_14;edad_15;edad_16;edad_17;edad_18;edad_19;edad_20;edad_21;edad_22;edad_23;edad_24;edad_25;edad_26;edad_27;edad_28;edad_29;edad_30;edad_31;edad_32;edad_33;edad_34;edad_35;edad_36;edad_37;edad_38;edad_39;edad_40;edad_41;edad_42;edad_43;edad_44;edad_45;edad_46;edad_47;edad_48;edad_49;edad_50;edad_51;edad_52;edad_53;edad_54;edad_55;edad_56;edad_57;edad_58;edad_59;edad_60;edad_61;edad_62;edad_63;edad_64;edad_65;edad_66;edad_67;edad_68;edad_69;edad_70;edad_71;edad_72;edad_73;edad_74;edad_75;edad_76;edad_77;edad_78;edad_79;edad_80;edad_81;edad_82;edad_83;edad_84;edad_85;edad_86;edad_87;edad_88;edad_89;edad_90;edad_91;edad_92;edad_93;edad_94;edad_95;edad_96;edad_97;edad_98;edad_99;edad_100;poblacion;embarazadas;ano_poblacion;latitud
000541;SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;58;58;59;60;62;63;65;66;67;68;70;71;71;71;71;70;69;68;68;67;67;67;67;67;66;66;66;66;66;66;66;65;65;64;63;63;61;60;59;58;58;57;55;53;51;50;48;47;46;44;43;43;42;41;40;39;38;37;35;34;32;31;29;28;26;25;23;22;20;19;18;17;16;15;14;13;12;11;9;8;7;7;6;5;5;5;5;4;3;3;3;2;2;1;1;1;1;1;0;0;1;3953;0;2026;-3.560063,-80.061547
000541;SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;55;56;56;58;59;60;62;63;64;65;66;66;66;66;65;64;63;62;62;62;62;62;63;63;63;63;63;64;64;64;64;64;64;63;63;62;60;58;57;57;56;56;55;54;53;52;51;50;50;49;48;47;47;46;45;44;43;41;40;38;37;35;33;32;30;28;27;25;24;22;21;20;19;18;17;16;15;14;12;11;10;9;9;8;7;6;6;5;4;4;3;3;3;2;2;1;1;1;1;1;2;3993;104;2026;-3.560063,-80.061547
000542;SAN ISIDRO URBANO;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD B;CS-B;Hombre;28;29;29;30;30;31;32;32;33;34;34;35;35;35;35;34;34;33;33;33;33;33;33;33;32;32;32;32;32;32;32;32;32;31;31;31;30;29;29;29;28;28;27;26;25;24;24;23;22;22;21;21;20;20;19;19;19;18;17;17;16;15;14;13;13;12;11;11;10;9;9;8;8;7;7;6;6;5;5;4;4;3;3;3;2;3;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;1937;0;2026;-3.550174,-80.060624
000542;SAN ISIDRO URBANO;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD B;CS-B;Mujer;27;27;28;28;29;29;30;31;31;32;32;33;33;32;32;31;31;31;30;30;30;30;31;31;31;31;31;31;31;31;31;31;31;31;31;30;29;29;28;28;28;27;27;26;26;25;25;25;24;24;24;23;23;23;22;22;21;20;20;19;18;17;16;15;15;14;13;12;12;11;10;10;9;9;8;8;7;7;6;5;5;5;4;4;3;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;1;1957;51;2026;-3.550174,-80.060624
000543;CAŃAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Hombre;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;11;11;11;11;11;10;10;10;10;10;10;9;9;9;8;8;8;8;8;7;7;7;7;7;7;6;6;6;6;5;5;5;5;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;694;0;2026;-3.666116,-79.957945
000543;CAŃAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Mujer;10;10;10;10;10;11;11;11;11;11;12;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;9;9;9;9;9;9;9;8;8;8;8;8;8;8;7;7;7;6;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;701;18;2026;-3.666116,-79.957945
000544;LA CUCA;EL ORO;ARENILLAS;LA CUCA;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;17;17;18;18;18;19;19;20;20;21;21;21;21;21;21;21;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;19;19;19;19;18;18;18;17;17;17;17;16;15;15;14;14;14;13;13;13;12;12;12;12;11;11;11;10;10;9;9;8;8;7;7;6;6;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1186;0;2026;-3.496498,-80.069570
000544;LA CUCA;EL ORO;ARENILLAS;LA CUCA;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;16;17;17;17;18;18;18;19;19;19;20;20;20;20;20;19;19;19;19;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;18;17;17;17;17;17;17;16;16;16;15;15;15;15;14;14;14;14;14;13;13;12;12;11;11;10;10;9;9;9;8;8;7;7;6;6;6;5;5;5;5;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0;1;1198;31;2026;-3.496498,-80.069570
000545;CARCABON;EL ORO;ARENILLAS;CARCABON;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;7;7;7;7;7;8;8;8;8;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474;0;2026;-3.626035,-80.188677
000545;CARCABON;EL ORO;ARENILLAS;CARCABON;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;479;12;2026;-3.626035,-80.188677
000546;CHACRAS;EL ORO;ARENILLAS;CHACRAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;15;15;15;16;16;16;17;17;18;18;18;18;19;19;18;18;18;18;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;16;16;16;15;15;15;15;14;14;13;13;13;12;12;12;11;11;11;11;10;10;10;10;9;9;8;8;8;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1030;0;2026;-3.551355,-80.200642
000546;CHACRAS;EL ORO;ARENILLAS;CHACRAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;14;14;15;15;15;16;16;16;17;17;17;17;17;17;17;17;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;16;16;16;15;15;15;15;15;14;14;14;14;13;13;13;13;13;12;12;12;12;12;11;11;10;10;10;9;9;8;8;7;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1041;29;2026;-3.551355,-80.200642
000547;PALMALES;EL ORO;ARENILLAS;PALMALES;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;23;23;24;24;25;25;26;27;27;28;28;28;29;29;28;28;28;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;24;24;23;23;23;22;21;21;20;19;19;18;18;17;17;17;16;16;16;15;15;14;14;13;12;12;11;10;10;9;9;8;8;7;7;6;6;5;5;5;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;1589;0;2026;-3.666345,-80.100404
000547;PALMALES;EL ORO;ARENILLAS;PALMALES;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;22;22;23;23;24;24;25;25;26;26;26;27;27;27;26;26;25;25;25;25;25;25;25;25;25;25;25;26;26;26;26;26;26;25;25;25;24;23;23;23;23;22;22;22;21;21;21;20;20;20;19;19;19;18;18;18;17;17;16;15;15;14;13;13;12;11;11;10;10;9;9;8;8;7;7;6;6;6;5;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;1;1605;40;2026;-3.666345,-80.100404
000548;MANABI DE EL ORO;EL ORO;ARENILLAS;PALMALES;Z07;07D05;PUESTO DE SALUD;PS;Hombre;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;2026;-3.729579,-80.126226
000548;MANABI DE EL ORO;EL ORO;ARENILLAS;PALMALES;Z07;07D05;PUESTO DE SALUD;PS;Mujer;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;3;2026;-3.729579,-80.126226
000549;EL PARAISO;EL ORO;LAS LAJAS;EL PARAISO;Z07;07D05;PUESTO DE SALUD;PS;Hombre;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;0;2026;-3.776542,-80.028551
000549;EL PARAISO;EL ORO;LAS LAJAS;EL PARAISO;Z07;07D05;PUESTO DE SALUD;PS;Mujer;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;443;10;2026;-3.776542,-80.028551
000550;LA LIBERTAD;EL ORO;LAS LAJAS;LA LIBERTAD;Z07;07D05;PUESTO DE SALUD;PS;Hombre;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464;0;2026;-3.851703,-80.105474
000550;LA LIBERTAD;EL ORO;LAS LAJAS;LA LIBERTAD;Z07;07D05;PUESTO DE SALUD;PS;Mujer;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;445;9;2026;-3.851703,-80.105474
000551;LAS LAJAS;EL ORO;LAS LAJAS;LA VICTORIA (URBANO);Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;14;14;14;15;15;15;16;16;16;17;17;17;17;17;17;17;17;17;17;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;15;15;14;14;14;14;14;13;13;12;12;11;11;11;11;10;10;10;10;10;9;9;9;8;8;7;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;968;0;2026;-3.788564,-80.063237
000551;LAS LAJAS;EL ORO;LAS LAJAS;LA VICTORIA (URBANO);Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;13;13;13;13;14;14;14;15;15;15;15;15;15;15;15;15;15;15;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;14;14;14;13;13;13;13;13;13;12;12;12;12;12;11;11;11;11;11;11;10;10;10;9;9;9;8;8;7;7;7;6;6;6;5;5;5;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;928;24;2026;-3.788564,-80.063237
000552;VALLE HERMOSO;EL ORO;LAS LAJAS;VALLE HERMOSO;Z07;07D05;PUESTO DE SALUD;PS;Hombre;11;11;12;12;12;12;13;13;13;14;14;14;14;14;14;14;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;11;11;11;11;11;10;10;9;9;9;9;9;8;8;8;8;8;7;7;7;7;6;6;6;5;5;5;5;4;4;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;780;0;2026;-3.800644,-80.071087
000552;VALLE HERMOSO;EL ORO;LAS LAJAS;VALLE HERMOSO;Z07;07D05;PUESTO DE SALUD;PS;Mujer;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;11;11;11;11;10;10;10;10;10;10;9;9;9;9;9;9;9;8;8;8;8;7;7;7;7;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;748;20;2026;-3.800644,-80.071087
000553;SAN ISIDRO RURAL;EL ORO;LAS LAJAS;SAN ISIDRO;Z07;07D05;PUESTO DE SALUD;PS;Hombre;5;5;6;6;6;6;6;6;6;6;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;0;2026;-3.735593,-80.000780
000553;SAN ISIDRO RURAL;EL ORO;LAS LAJAS;SAN ISIDRO;Z07;07D05;PUESTO DE SALUD;PS;Mujer;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;9;2026;-3.735593,-80.000780
000554;18 DE NOVIEMBRE;EL ORO;HUAQUILLAS;ECUADOR;Z07;07D05;CENTRO DE SALUD B;CS-B;Hombre;97;98;100;102;104;106;109;111;113;115;118;119;120;120;119;118;116;115;114;113;113;113;113;112;112;111;111;111;111;111;110;110;109;108;107;105;103;100;99;98;97;96;93;90;87;84;81;79;77;75;73;72;70;68;67;66;64;62;59;57;54;52;49;46;44;41;39;36;34;32;30;28;26;25;23;21;20;18;16;14;12;11;10;9;8;9;8;7;6;5;4;4;3;2;2;2;1;1;1;1;1;6664;0;2026;-3.480422,-80.225213
000554;18 DE NOVIEMBRE;EL ORO;HUAQUILLAS;ECUADOR;Z07;07D05;CENTRO DE SALUD B;CS-B;Mujer;96;97;98;100;103;105;108;110;111;113;115;116;116;115;114;112;110;109;108;107;107;108;109;110;110;110;111;111;111;112;112;112;111;111;110;108;105;102;100;99;98;97;96;94;92;91;89;88;87;85;84;83;81;80;79;77;75;72;70;67;64;61;58;55;52;50;47;44;42;39;37;35;33;31;30;28;26;24;22;19;18;16;15;13;12;11;10;9;8;7;6;5;4;4;3;3;2;2;1;1;3;6967;190;2026;-3.480422,-80.225213
000555;LA PAZ;EL ORO;HUAQUILLAS;MILTON REYES;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;64;65;66;67;69;70;72;74;75;76;78;79;79;79;79;78;77;76;75;75;74;74;74;74;74;74;73;73;73;73;73;73;72;71;71;70;68;66;66;65;64;63;62;59;57;55;54;52;51;50;48;47;46;45;44;43;42;41;39;38;36;34;32;31;29;27;26;24;23;21;20;19;17;16;15;14;13;12;10;9;8;7;7;6;5;6;5;4;4;3;3;2;2;2;1;1;1;1;0;0;1;4403;0;2026;-3.476769,-80.236688
000555;LA PAZ;EL ORO;HUAQUILLAS;MILTON REYES;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;63;64;65;66;68;69;71;72;73;75;76;76;77;76;75;74;73;72;71;71;71;72;72;73;73;73;73;73;74;74;74;74;73;73;72;71;69;67;66;65;65;64;63;62;61;60;59;58;57;56;55;55;54;53;52;51;49;48;46;44;42;40;38;36;35;33;31;29;28;26;24;23;22;21;20;18;17;16;14;13;12;11;10;9;8;7;6;6;5;4;4;3;3;2;2;2;1;1;1;1;2;4603;126;2026;-3.476769,-80.236688
000556;HUALTACO;EL ORO;HUAQUILLAS;HUALTACO;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;82;82;84;85;87;89;91;93;95;97;99;100;101;101;100;99;98;96;95;95;95;94;94;94;94;93;93;93;93;93;93;92;91;91;90;88;86;84;83;82;81;80;78;75;73;70;68;66;64;63;61;60;59;57;56;55;53;52;50;48;46;43;41;39;37;35;33;31;29;27;25;24;22;21;19;18;17;15;13;11;10;9;8;7;6;7;6;6;5;4;4;3;2;2;2;1;1;1;1;0;1;5589;0;2026;-3.452444,-80.227795
000556;HUALTACO;EL ORO;HUAQUILLAS;HUALTACO;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;80;81;83;84;86;88;90;92;93;95;96;97;97;97;95;94;93;91;90;90;90;91;92;92;93;93;93;93;93;94;94;94;93;93;92;91;88;85;84;83;82;82;81;79;77;76;75;74;73;72;70;69;68;67;66;65;63;61;58;56;54;51;49;46;44;42;39;37;35;33;31;29;28;26;25;23;22;20;18;16;15;14;12;11;10;9;8;7;6;6;5;4;4;3;3;2;2;1;1;1;3;5842;159;2026;-3.452444,-80.227795
002763;EL JOBO SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Hombre;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393;0;2026;-3.538225,-80.029939
002763;EL JOBO SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Mujer;5;6;6;6;6;6;6;6;6;6;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;398;11;2026;-3.538225,-80.029939
002879;CENTRO DE SALUD HUAQUILLAS;EL ORO;HUAQUILLAS;UNION LOJANA;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;188;189;192;196;200;205;210;214;218;223;227;230;231;231;229;227;224;222;219;218;217;217;217;216;215;215;214;213;213;213;213;212;210;208;206;203;198;194;191;189;187;185;180;173;167;161;156;152;148;145;141;138;135;132;129;126;123;119;114;110;105;99;94;89;85;80;75;70;66;62;58;54;51;47;44;41;38;35;30;26;24;21;19;17;15;17;15;13;11;10;8;7;6;5;4;3;2;2;1;1;3;12841;0;2026;-3.480769,-80.211776
002879;CENTRO DE SALUD HUAQUILLAS;EL ORO;HUAQUILLAS;UNION LOJANA;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;185;187;190;194;198;202;207;211;214;218;221;223;224;222;219;216;213;210;208;207;207;209;211;212;213;213;213;214;215;215;215;215;214;213;211;208;202;196;193;190;189;188;185;181;177;175;172;169;167;165;162;159;157;155;152;148;144;139;134;129;123;117;112;106;101;96;90;85;80;76;71;67;64;60;57;54;51;47;42;37;34;32;29;26;23;21;19;17;15;13;11;10;9;7;6;5;4;3;3;2;6;13424;342;2026;-3.480769,-80.211776
002900;CENTRO DE SALUD ARENILLAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;83;84;85;86;88;90;93;95;96;98;100;101;102;102;101;100;99;98;97;96;96;96;96;95;95;95;94;94;94;94;94;93;93;92;91;90;88;85;84;83;83;81;79;76;74;71;69;67;65;64;62;61;60;58;57;56;54;52;50;48;46;44;42;39;37;35;33;31;29;27;25;24;22;21;20;18;17;15;13;12;10;9;8;7;7;7;7;6;5;4;4;3;3;2;2;1;1;1;1;0;1;5665;0;2026;-3.555861,-80.071321
002900;CENTRO DE SALUD ARENILLAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;79;80;81;83;84;86;88;90;91;93;94;95;95;95;94;92;91;89;89;88;88;89;90;91;91;91;91;91;91;92;92;92;91;91;90;89;86;84;82;81;81;80;79;77;76;74;73;72;71;70;69;68;67;66;65;63;61;59;57;55;52;50;48;45;43;41;38;36;34;32;30;29;27;26;24;23;22;20;18;16;15;13;12;11;10;9;8;7;6;6;5;4;4;3;3;2;2;1;1;1;3;5723;148;2026;-3.555861,-80.071321
